"CellUID","IsolationRCADate","DIVDays","CellType","CellID","RCAID","MouseID"
"Mouse02_Neuron_4","2020-08-14",3,"Neuron",4,"R20","Mouse02"
"Mouse02_Neuron_6","2020-08-14",3,"Neuron",6,"R20","Mouse02"
"Mouse02_Neuron_8","2020-08-14",3,"Neuron",8,"R20","Mouse02"
"Mouse02_Neuron_9","2020-08-14",3,"Neuron",9,"R20","Mouse02"
"Mouse02_Neuron_10","2020-08-14",3,"Neuron",10,"R20","Mouse02"
"Mouse03_Neuron_2","2020-08-21",3,"Neuron",2,"R22","Mouse03"
"Mouse03_Neuron_3","2020-08-21",3,"Neuron",3,"R22","Mouse03"
"Mouse03_Neuron_4","2020-08-21",3,"Neuron",4,"R22","Mouse03"
"Mouse03_Neuron_6","2020-08-21",3,"Neuron",6,"R22","Mouse03"
"Mouse03_Neuron_7","2020-08-21",3,"Neuron",7,"R22","Mouse03"
"Mouse03_Neuron_9","2020-08-21",3,"Neuron",9,"R22","Mouse03"
"Mouse03_Neuron_11","2020-08-21",3,"Neuron",11,"R22","Mouse03"
"Mouse03_Neuron_14","2020-08-21",3,"Neuron",14,"R22","Mouse03"
"Mouse04_Neuron_1","2020-08-28",3,"Neuron",1,"R23","Mouse04"
"Mouse04_Neuron_2","2020-08-28",3,"Neuron",2,"R23","Mouse04"
"Mouse04_Neuron_3","2020-08-28",3,"Neuron",3,"R23","Mouse04"
"Mouse04_Neuron_4","2020-08-28",3,"Neuron",4,"R23","Mouse04"
"Mouse04_Neuron_5","2020-08-28",3,"Neuron",5,"R23","Mouse04"
"Mouse04_Neuron_6","2020-08-28",3,"Neuron",6,"R23","Mouse04"
"Mouse04_Neuron_8","2020-08-28",3,"Neuron",8,"R23","Mouse04"
"Mouse04_Neuron_9","2020-08-28",3,"Neuron",9,"R23","Mouse04"
"Mouse04_Neuron_10","2020-08-28",3,"Neuron",10,"R23","Mouse04"
"Mouse04_Neuron_11","2020-08-28",3,"Neuron",11,"R23","Mouse04"
"Mouse04_Neuron_12","2020-08-28",3,"Neuron",12,"R23","Mouse04"
"Mouse05_Neuron_1","2020-09-04",3,"Neuron",1,"R24","Mouse05"
"Mouse05_Neuron_2","2020-09-04",3,"Neuron",2,"R24","Mouse05"
"Mouse05_Neuron_3","2020-09-04",3,"Neuron",3,"R24","Mouse05"
"Mouse05_Neuron_4","2020-09-04",3,"Neuron",4,"R24","Mouse05"
"Mouse05_Neuron_5","2020-09-04",3,"Neuron",5,"R24","Mouse05"
"Mouse05_Neuron_6","2020-09-04",3,"Neuron",6,"R24","Mouse05"
"Mouse05_Neuron_7","2020-09-04",3,"Neuron",7,"R24","Mouse05"
"Mouse05_Neuron_9","2020-09-04",3,"Neuron",9,"R24","Mouse05"
"Mouse05_Neuron_11","2020-09-04",3,"Neuron",11,"R24","Mouse05"
"Mouse05_Neuron_12","2020-09-04",3,"Neuron",12,"R24","Mouse05"
"Mouse06_Neuron_1","2020-09-15",3,"Neuron",1,"R25","Mouse06"
"Mouse06_Neuron_2","2020-09-15",3,"Neuron",2,"R25","Mouse06"
"Mouse06_Neuron_3","2020-09-15",3,"Neuron",3,"R25","Mouse06"
"Mouse06_Neuron_7","2020-09-15",3,"Neuron",7,"R25","Mouse06"
"Mouse06_Neuron_10","2020-09-15",3,"Neuron",10,"R25","Mouse06"
"Mouse07_Astrocyte_1","2021-02-05",3,"Astrocyte",1,"R29","Mouse07"
"Mouse07_Astrocyte_2","2021-02-05",3,"Astrocyte",2,"R29","Mouse07"
