pos,SNVID,nmice,ncells,nmitos
9461,SNV1,13,100,1198
9027,SNV3,13,100,1308
16125,SNV8,13,62,187
16073,SNV8,7,7,9
16092,SNV8,11,29,52
16099,SNV8,12,44,174
16105,SNV8,12,49,211
16108,SNV8,12,50,193
16110,SNV8,12,49,191
16111,SNV8,8,34,91
16118,SNV8,12,44,124
16120,SNV8,11,32,68
16133,SNV8,12,45,142
9398,SNV1,1,1,1
9457,SNV1,5,13,23
9373,SNV1,4,5,7
13764,SNV6,2,4,4
13765,SNV6,1,1,1
13766,SNV6,9,23,30
13830,SNV6,2,2,2
6460,SNV4,1,1,1
3782,SNV5,2,2,2
1226,SNV12,1,1,1
9419,SNV1,7,9,13
9445,SNV1,3,3,3
13747,SNV6,8,16,21
12816,SNV2,1,1,1
12831,SNV2,13,52,108
13763,SNV6,5,7,11
13759,SNV6,1,1,1
7646,SNV9,2,2,2
7656,SNV9,3,3,3
16094,SNV8,7,22,42
2673,SNV10,2,2,2
3076,SNV7,3,3,3
13755,SNV6,4,4,6
3013,SNV7,2,2,2
16113,SNV8,4,12,20
2667,SNV10,1,1,1
13825,SNV6,2,2,2
9413,SNV1,1,1,1
8972,SNV3,3,5,5
3068,SNV7,2,2,2
9468,SNV1,5,10,16
13786,SNV6,12,41,63
13726,SNV6,2,2,2
9388,SNV1,2,2,2
3097,SNV7,2,3,3
7577,SNV9,1,1,1
2719,SNV10,1,2,2
2708,SNV10,4,6,6
9414,SNV1,1,1,1
9469,SNV1,2,3,3
2652,SNV10,2,2,2
9417,SNV1,2,2,2
9428,SNV1,3,4,6
13835,SNV6,3,4,4
3098,SNV7,1,1,1
2626,SNV10,1,1,1
1241,SNV12,1,1,1
13817,SNV6,2,2,2
6450,SNV4,2,2,2
1282,SNV12,2,2,2
1291,SNV12,2,3,3
7572,SNV9,3,3,3
2633,SNV10,2,3,3
6468,SNV4,1,1,1
9422,SNV1,2,2,2
2676,SNV10,2,2,2
9016,SNV3,3,3,4
13773,SNV6,1,1,1
13785,SNV6,12,31,41
12891,SNV2,1,1,1
2722,SNV10,2,2,2
1297,SNV12,1,1,1
16095,SNV8,9,29,93
16140,SNV8,12,37,98
8961,SNV3,4,5,6
12846,SNV2,3,3,3
8936,SNV3,3,5,6
1270,SNV12,3,4,4
1274,SNV12,2,2,2
3028,SNV7,6,7,7
3081,SNV7,3,4,4
7628,SNV9,2,2,2
13741,SNV6,3,3,3
3800,SNV5,1,1,1
9416,SNV1,4,4,5
8990,SNV3,5,6,7
6437,SNV4,2,2,2
2698,SNV10,1,2,2
2637,SNV10,2,2,2
9387,SNV1,2,3,4
6443,SNV4,2,3,4
2622,SNV10,1,1,1
13784,SNV6,4,6,6
13822,SNV6,3,4,4
6545,SNV4,3,4,4
3042,SNV7,1,1,1
7641,SNV9,2,2,2
3103,SNV7,1,1,1
16119,SNV8,5,12,15
13778,SNV6,9,18,27
13779,SNV6,10,23,31
9471,SNV1,2,2,2
8993,SNV3,3,3,4
3027,SNV7,2,2,2
9019,SNV3,2,4,4
13797,SNV6,2,2,2
7660,SNV9,4,6,6
1237,SNV12,2,3,3
3014,SNV7,1,1,1
7593,SNV9,2,2,2
9391,SNV1,3,3,4
13787,SNV6,5,5,6
2725,SNV10,2,3,3
16114,SNV8,6,10,11
3017,SNV7,1,1,1
1278,SNV12,2,2,2
2687,SNV10,3,3,3
16124,SNV8,5,6,6
2695,SNV10,1,1,1
13746,SNV6,3,3,3
8949,SNV3,2,2,3
3024,SNV7,3,4,4
16059,SNV8,2,3,3
16097,SNV8,2,3,3
1280,SNV12,3,3,3
2692,SNV10,3,3,3
7672,SNV9,2,2,2
2672,SNV10,3,3,3
3070,SNV7,1,1,1
16096,SNV8,7,10,12
2689,SNV10,5,6,6
13805,SNV6,2,2,3
13820,SNV6,3,5,6
12892,SNV2,1,1,1
3828,SNV5,1,1,1
13813,SNV6,3,3,4
1302,SNV12,5,5,5
3075,SNV7,2,2,2
2661,SNV10,1,1,1
2691,SNV10,4,4,4
3009,SNV7,1,1,1
2680,SNV10,3,4,4
9397,SNV1,1,1,1
9404,SNV1,3,4,4
3050,SNV7,1,1,1
9459,SNV1,3,6,6
3094,SNV7,1,1,1
3047,SNV7,2,2,2
3104,SNV7,3,3,3
15243,SNV11,2,2,2
9447,SNV1,4,4,4
16093,SNV8,7,15,24
3051,SNV7,4,4,7
